class,t,sigma_count,P_card,quadratic_fuzziness,P_pair_product,pairwise_extra_information
0,0.06500866846387596,2.0,1.0,0.12156508297685965,1.0607825414884298,0.060782541488429764
0,0.03593467065727376,2.0,1.0,0.06928674020405404,1.034643370102027,0.034643370102027005
0,0.05802961799353668,2.0,1.0,0.10932436285812178,1.0546621814290609,0.054662181429060874
0,0.06338164093506482,2.0,1.0,0.11872881705488667,1.0593644085274434,0.0593644085274434
0,0.020611601068132607,2.0,1.0,0.040373525939081556,1.0201867629695407,0.020186762969540695
0,0.07552111688806211,2.0,1.0,0.13963535558408352,1.0698176777920418,0.06981767779204184
0,0.016258603992183734,2.0,1.0,0.03198852357681814,1.015994261788409,0.015994261788409014
0,0.03715989124663515,2.0,1.0,0.07155806745834675,1.0357790337291735,0.03577903372917346
0,0.07108347946210579,2.0,1.0,0.13206123681933235,1.0660306184096662,0.06603061840966618
0,0.04437848358396782,2.0,1.0,0.08481806755751062,1.0424090337787553,0.04240903377875527
0,0.016151807926879397,2.0,1.0,0.03178185405514521,1.0158909270275727,0.015890927027572666
0,0.020232684438013813,2.0,1.0,0.03964664583689117,1.0198233229184457,0.019823322918445685
0,0.022113817585677483,2.0,1.0,0.04324959331492968,1.0216247966574648,0.02162479665746475
0,0.028265802683620837,2.0,1.0,0.05493369416454295,1.0274668470822714,0.02746684708227143
0,0.054358580741098825,2.0,1.0,0.1028074508818245,1.0514037254409123,0.05140372544091232
0,0.04256597672941019,2.0,1.0,0.08150822870896302,1.0407541143544816,0.04075411435448162
0,0.016627457897614183,2.0,1.0,0.032701971082954535,1.0163509855414772,0.01635098554147718
0,0.048305875636328384,2.0,1.0,0.09194483603067191,1.045972418015336,0.045972418015336025
0,0.07266341392814907,2.0,1.0,0.13476688440891105,1.0673834422044555,0.06738344220445547
0,0.01582817915661889,2.0,1.0,0.031155295802409777,1.0155776479012049,0.01557764790120486
0,0.0739947159665204,2.0,1.0,0.13703899595110874,1.0685194979755543,0.06851949797555434
